Geneid	Length
AT1G01010	2269
AT1G01020	2343
AT1G03987	272
AT1G01030	2066
AT1G01040	8107
AT1G03993	788
AT1G01046	207
AT1G01050	2002
AT1G03997	283
AT1G01060	4507
AT1G01070	2574
AT1G04003	209
AT1G01080	2090
AT1G01090	2071
AT1G01100	1302
AT1G01110	2785
AT1G01120	2052
AT1G01130	1907
AT1G01140	3609
AT1G01150	2228
AT1G01160	1758
AT1G04007	463
AT1G01170	807
AT1G04013	249
AT1G01180	1456
AT1G01183	111
AT1G01190	1963
AT1G01200	1924
AT1G01210	1881
AT1G04017	233
AT1G01220	4340
AT1G04023	330
AT1G01225	1473
AT1G01230	1829
AT1G01240	2123
AT1G01250	891
AT1G01260	2754
AT1G01270	72
AT1G01280	1685
AT1G01290	2206
AT1G01300	2062
AT1G01305	617
AT1G01310	977
AT1G01320	9511
AT1G01335	123
AT1G01340	3655
AT1G01350	2073
AT1G01355	1192
AT1G01360	1392
AT1G01370	2991
AT1G01380	972
AT1G01390	1836
AT1G01400	1522
AT1G01410	1086
AT1G01420	1812
AT1G01430	2347
AT1G01440	3326
AT1G01448	3076
AT1G01450	1413
AT1G01453	1500
AT1G01460	2828
AT1G01470	1424
AT1G01480	2701
AT1G01490	2733
AT1G01500	2103
AT1G01510	3328
AT1G01520	2029
AT1G01530	1037
AT1G01540	3143
AT1G01550	2249
AT1G01560	2338
AT1G01570	2708
AT1G01580	4088
AT1G01590	3585
AT1G01600	2453
AT1G01610	2710
AT1G01620	1879
AT1G01630	2181
AT1G01640	1723
AT1G01650	5066
AT1G04027	154
AT1G01660	2863
AT1G01670	3342
AT1G01680	2179
AT1G01690	3482
AT1G01695	1905
AT1G04033	363
AT1G04037	247
AT1G01700	2361
AT1G01710	3497
AT1G01715	1551
AT1G04043	344
AT1G01720	1827
AT1G01725	1068
AT1G04047	451
AT1G01730	1393
AT1G01740	2820
AT1G01750	1123
AT1G04053	847
AT1G01760	2334
AT1G04057	187
AT1G01770	4292
AT1G01780	1485
AT1G01790	6854
AT1G04063	468
AT1G01800	1841
AT1G01810	653
AT1G01820	2334
AT1G01830	3860
AT1G04067	515
AT1G01840	822
AT1G01860	2178
AT1G04073	233
AT1G01870	73
AT1G01880	3075
AT1G01890	73
AT1G01900	2962
AT1G04077	1057
AT1G01910	2990
AT1G04083	275
AT1G01920	3685
AT1G01930	3127
AT1G01940	2032
AT1G01950	5304
AT1G01960	7325
AT1G01970	1848
AT1G01980	1933
AT1G01990	1483
AT1G02000	2088
AT1G02010	4933
AT1G02020	2513
AT1G02030	2135
AT1G02040	1173
AT1G02050	1630
AT1G02060	2225
AT1G02065	2279
AT1G02067	222
AT1G02070	896
AT1G02080	13579
AT1G02090	2532
AT1G02100	3005
AT1G02110	2698
AT1G02120	4313
AT1G02130	1937
AT1G04087	209
AT1G02140	1357
AT1G02145	4020
AT1G02150	2059
AT1G02160	889
AT1G02170	1891
AT1G02180	1128
AT1G02190	2954
AT1G02205	4164
AT1G04093	499
AT1G02210	264
AT1G02220	2071
AT1G02230	1958
AT1G02250	1700
AT1G02260	2773
AT1G02270	3179
AT1G02280	2004
AT1G02290	2283
AT1G02300	2413
AT1G02305	2477
AT1G04097	319
AT1G02310	2699
AT1G04103	2800
AT1G02320	147
AT1G02330	1673
AT1G02335	1228
AT1G02340	2265
AT1G02350	876
AT1G02360	1454
AT1G02370	2240
AT1G02380	2168
AT1G02390	2724
AT1G02400	2852
AT1G02405	754
AT1G02410	2120
AT1G02420	1520
AT1G04117	1541
AT1G02430	1283
AT1G04123	304
AT1G02440	1184
AT1G02450	623
AT1G02460	2806
AT1G02470	1957
AT1G02475	1724
AT1G02480	73
AT1G02490	298
AT1G02500	2405
AT1G02510	1171
AT1G02520	5534
AT1G02530	4999
AT1G02540	873
AT1G02550	729
AT1G02560	2388
AT1G02570	1010
AT1G02575	1047
AT1G02580	4470
AT1G04127	241
AT1G02590	624
AT1G02600	72
AT1G02610	3134
AT1G02620	1683
AT1G04133	422
AT1G04137	517
AT1G02630	1989
AT1G02640	3754
AT1G02650	1997
AT1G02660	3260
AT1G02670	4611
AT1G02680	1686
AT1G04143	390
AT1G02690	3194
AT1G02700	1478
AT1G02705	823
AT1G02710	291
AT1G02720	2583
AT1G02730	4156
AT1G02740	2870
AT1G02750	1899
AT1G02760	73
AT1G02770	1836
AT1G02780	1736
AT1G02790	1962
AT1G02800	3035
AT1G02810	2442
AT1G02813	652
AT1G02816	1602
AT1G02820	912
AT1G02830	525
AT1G02840	3355
AT1G02850	3047
AT1G02860	2119
AT1G04147	278
AT1G02870	1468
AT1G04153	460
AT1G02880	2399
AT1G02890	6918
AT1G02900	854
AT1G02910	2649
AT1G02920	1403
AT1G02930	1388
AT1G02940	1328
AT1G02950	1353
AT1G02952	1014
AT1G02960	3113
AT1G02965	1154
AT1G02970	3114
AT1G02980	4019
AT1G02990	6055
AT1G03000	4866
AT1G03010	3315
AT1G03020	673
AT1G03030	2565
AT1G03040	2843
AT1G03050	2557
AT1G03055	1840
AT1G03060	15114
AT1G03070	1736
AT1G03080	6753
AT1G03090	4641
AT1G04157	225
AT1G03100	2817
AT1G04163	1424
AT1G03103	861
AT1G03106	934
AT1G03110	2731
AT1G03120	950
AT1G03130	956
AT1G03140	2043
AT1G03150	2265
AT1G04167	216
AT1G03160	4934
AT1G03165	989
AT1G04173	349
AT1G03170	2309
AT1G03180	2005
AT1G03190	4536
AT1G04177	303
AT1G03200	2428
AT1G03210	1443
AT1G03220	1891
AT1G03230	1870
AT1G03240	839
AT1G03250	2089
AT1G03260	3043
AT1G03270	3511
AT1G03280	4097
AT1G03290	5856
AT1G03300	2054
AT1G03310	3400
AT1G03320	779
AT1G03325	126
AT1G03330	1630
AT1G03340	1865
AT1G03350	1829
AT1G03360	1883
AT1G03365	3871
AT1G03370	4862
AT1G03380	5607
AT1G03390	1386
AT1G03395	482
AT1G03400	1593
AT1G03410	3248
AT1G04183	2007
AT1G03430	1829
AT1G03440	2147
AT1G03445	5292
AT1G03457	3612
AT1G03470	1839
AT1G03475	2456
AT1G03490	1033
AT1G03495	1311
AT1G04187	134
AT1G04193	117
AT1G03502	114
AT1G03506	87
AT1G04197	145
AT1G03510	1470
AT1G03515	72
AT1G03520	2399
AT1G03530	3216
AT1G03540	1929
AT1G03550	2334
AT1G03545	2032
AT1G03560	2338
AT1G03570	72
AT1G03590	3481
AT1G03600	1315
AT1G03610	2339
AT1G03620	3612
AT1G03630	2128
AT1G03640	73
AT1G03650	1270
AT1G03660	2499
AT1G04203	206
AT1G03670	2001
AT1G03680	1293
AT1G03687	2308
AT1G03700	1149
AT1G03710	1341
AT1G03720	1478
AT1G04207	212
AT1G03730	1271
AT1G03740	3727
AT1G04213	110
AT1G03743	81
AT1G03746	85
AT1G03750	3337
AT1G03760	2316
AT1G03770	3111
AT1G03780	4331
AT1G03790	1855
AT1G03800	1280
AT1G03810	851
AT1G03820	1127
AT1G03830	5107
AT1G03840	2865
AT1G03850	2041
AT1G03860	2696
AT1G03870	1164
AT1G03880	2396
AT1G03890	1823
AT1G03900	2021
AT1G03905	2590
AT1G03910	4554
AT1G03920	3295
AT1G03930	3683
AT1G04217	144
AT1G03935	87
AT1G04223	117
AT1G03940	1918
AT1G04227	108
AT1G03950	2215
AT1G03960	4315
AT1G03970	1190
AT1G04233	392
AT1G03980	2798
AT1G03982	1469
AT1G03990	2877
AT1G04000	1267
AT1G04010	5308
AT1G04020	3770
AT1G04030	2518
AT1G04040	1526
AT1G04237	298
AT1G04050	4267
AT1G04070	690
AT1G04080	5516
AT1G04090	2414
AT1G04100	1740
AT1G04105	619
AT1G04110	2513
AT1G04120	6817
AT1G04243	207
AT1G04130	2295
AT1G04140	5088
AT1G04150	3408
AT1G04160	10341
AT1G04170	3020
AT1G04180	1749
AT1G04190	2372
AT1G04200	4761
AT1G04210	5365
AT1G04220	3088
AT1G04247	2302
AT1G04230	3274
AT1G04240	1541
AT1G04253	690
AT1G04250	2586
AT1G04260	1287
AT1G04270	1573
AT1G04280	3656
AT1G04290	1237
AT1G04295	655
AT1G04300	6104
AT1G04310	3074
AT1G04320	71
AT1G04330	694
AT1G04340	1957
AT1G04350	2226
AT1G04360	1747
AT1G04370	736
AT1G04380	1945
AT1G04257	252
AT1G04390	4395
AT1G04400	3185
AT1G04410	2464
AT1G04420	2366
AT1G04425	2703
AT1G04430	3624
AT1G04440	3850
AT1G04445	1180
AT1G04450	1506
AT1G04455	354
AT1G04470	3918
AT1G04263	101
AT1G04480	1547
AT1G04267	140
AT1G04273	144
AT1G04277	141
AT1G04490	3210
AT1G04500	3129
AT1G04510	4465
AT1G04520	2581
AT1G04530	2031
AT1G04540	2446
AT1G04550	1864
AT1G04555	1739
AT1G04560	1113
AT1G04570	2276
AT1G04580	5889
AT1G04590	2915
AT1G04600	10827
AT1G04610	2268
AT1G04620	4457
AT1G04625	1990
AT1G04630	1379
AT1G04635	725
AT1G04640	1376
AT1G04645	494
AT1G04650	4397
AT1G04283	244
AT1G04660	1406
AT1G04670	930
AT1G04680	4507
AT1G04690	2381
AT1G04700	4862
AT1G04710	2956
AT1G04720	85
AT1G04730	6071
AT1G04750	2186
AT1G04287	317
AT1G04760	2172
AT1G04770	1576
AT1G04778	978
AT1G04780	3241
AT1G04790	3880
AT1G04800	1027
AT1G04810	5387
AT1G04820	2464
AT1G04830	3446
AT1G04840	2801
AT1G04850	3834
AT1G04860	4068
AT1G04870	2588
AT1G04880	3405
AT1G04890	2218
AT1G04293	270
AT1G04895	415
AT1G04900	4055
AT1G04297	655
AT1G04910	3511
AT1G04303	238
AT1G04920	4520
AT1G04930	2858
AT1G04945	3939
AT1G04940	1649
AT1G04950	4447
AT1G04960	3162
AT1G04970	2540
AT1G04980	2575
AT1G04985	2686
AT1G04990	3252
AT1G05000	3331
AT1G05005	1009
AT1G04307	448
AT1G05010	1834
AT1G05020	2609
AT1G05030	3886
AT1G04313	348
AT1G05035	1134
AT1G04323	239
AT1G05040	1095
AT1G05055	2271
AT1G05060	1871
AT1G05065	717
AT1G05070	1796
AT1G05080	1489
AT1G05085	683
AT1G04327	224
AT1G04333	298
AT1G05087	1066
AT1G05090	1637
AT1G05100	1341
AT1G05120	4967
AT1G05136	141
AT1G05140	1514
AT1G05150	2961
AT1G05160	3628
AT1G05170	3275
AT1G04337	368
AT1G05180	3840
AT1G05190	1603
AT1G05200	4212
AT1G04343	370
AT1G05205	1239
AT1G04347	411
AT1G05210	1280
AT1G05220	948
AT1G04353	1945
AT1G05230	6005
AT1G05240	2746
AT1G04357	509
AT1G04363	350
AT1G04367	671
AT1G05250	1760
AT1G05260	1718
AT1G05270	3127
AT1G05280	2773
AT1G04373	212
AT1G05290	1411
AT1G05291	1085
AT1G04377	319
AT1G04383	238
AT1G04387	451
AT1G05300	2923
AT1G05310	2085
AT1G05320	4281
AT1G05330	688
AT1G05340	1140
AT1G05350	3732
AT1G05360	3018
AT1G05370	3323
AT1G05380	5851
AT1G05385	1090
AT1G05390	74
AT1G05400	1349
AT1G05410	2424
AT1G05420	1040
AT1G05430	1871
AT1G05440	1934
AT1G05450	1339
AT1G05460	3887
AT1G05470	4639
AT1G05490	4986
AT1G05500	4371
AT1G05510	1418
AT1G05520	5170
AT1G05530	1666
AT1G05540	1657
AT1G05550	2959
AT1G05560	2136
AT1G05562	2136
AT1G05570	12037
AT1G04393	404
AT1G04397	207
AT1G05575	710
AT1G05577	2047
AT1G05580	3569
AT1G05590	2553
AT1G05600	2008
AT1G05610	2217
AT1G05615	764
AT1G05620	2830
AT1G05630	5140
AT1G05640	2520
AT1G05650	2178
AT1G04403	329
AT1G05660	2122
AT1G05670	3525
AT1G05675	1634
AT1G05680	1837
AT1G05690	2625
AT1G05700	3802
AT1G04407	262
AT1G05710	2473
AT1G05720	1521
AT1G04413	360
AT1G05730	2033
AT1G04417	360
AT1G05740	717
AT1G05750	3226
AT1G05760	801
AT1G05770	934
AT1G05780	1963
AT1G04423	153
AT1G05783	1132
AT1G04427	304
AT1G05785	2416
AT1G05790	4782
AT1G05800	1416
AT1G05805	3291
AT1G05810	1268
AT1G05820	4559
AT1G05830	7780
AT1G05835	670
AT1G04433	331
AT1G05840	3550
AT1G04437	257
AT1G05850	2335
AT1G05860	2301
AT1G05870	2001
AT1G05880	2911
AT1G05890	5420
